ts,symbol,price,qty,side
1766670548649,BTCUSDT,87384.91,0.00457,sell
1766670591819,BTCUSDT,87385.98,0.00457,sell
1766670608469,BTCUSDT,87386.71,0.00458,sell
1766670707957,BTCUSDT,87391.23,0.00458,sell
1766670720672,BTCUSDT,87391.97,0.00458,sell
1766670735444,BTCUSDT,87392.69,0.00458,sell
1766670755381,BTCUSDT,87689.76,6e-05,buy
1766670800114,BTCUSDT,87395.67,0.00458,sell
1766670815889,BTCUSDT,87396.45,0.00458,sell
1766670918583,BTCUSDT,87401.04,0.00034,sell
1766671235377,BTCUSDT,87685.58,3e-05,buy
1766671416397,BTCUSDT,87422.72,3e-05,sell
1766671459199,BTCUSDT,87683.02,0.00034,buy
1766671494888,BTCUSDT,87682.62,2e-05,buy
1766671550350,BTCUSDT,87682.06,0.00035,buy
1766671670411,BTCUSDT,87680.94,0.00017,buy
1766671820468,BTCUSDT,87679.9,0.00057,buy
1766671895347,BTCUSDT,87679.41,6e-05,buy
1766671910473,BTCUSDT,87679.41,0.00017,buy
1766671924565,BTCUSDT,87722.69,0.00015,buy
1766671924565,BTCUSDT,87783.91,0.00019,buy
1766671955349,BTCUSDT,87783.64,0.00085,buy
1766671955407,BTCUSDT,87783.64,0.00096,buy
1766671955407,BTCUSDT,87783.65,0.00075,buy
1766672000770,BTCUSDT,87783.11,0.00012,buy
1766672030412,BTCUSDT,87699.89,6e-05,buy
1766672045623,BTCUSDT,87699.81,0.00114,buy
1766672075348,BTCUSDT,87699.66,0.00071,buy
1766672075348,BTCUSDT,87699.67,0.00712,buy
1766672075348,BTCUSDT,87700.0,0.00066,buy
1766672075348,BTCUSDT,87713.92,8e-05,buy
1766672075348,BTCUSDT,87783.91,0.01988,buy
1766672092567,BTCUSDT,87783.63,0.00016,buy
1766672375313,BTCUSDT,87779.41,0.00028,buy
1766672473337,BTCUSDT,87776.94,0.00052,buy
1766673048968,BTCUSDT,87497.41,0.00019,sell
1766673110739,BTCUSDT,87756.27,0.0011,buy
1766673470361,BTCUSDT,87752.1,6e-05,buy
1766674168463,BTCUSDT,87736.09,0.00317,buy
1766674895383,BTCUSDT,87750.77,0.00057,buy
1766674925315,BTCUSDT,87750.63,0.00057,buy
1766674940414,BTCUSDT,87750.6,0.00017,buy
1766674940446,BTCUSDT,87750.6,0.00023,buy
1766674984302,BTCUSDT,87578.59,0.00029,sell
1766675000385,BTCUSDT,87783.99,0.00098,buy
1766675000385,BTCUSDT,87784.0,0.00015,buy
1766675000385,BTCUSDT,87820.64,5e-05,buy
1766675000385,BTCUSDT,87876.87,0.02157,buy
1766675281405,BTCUSDT,87871.65,0.00114,buy
1766675439910,BTCUSDT,87869.88,0.00011,buy
1766675450418,BTCUSDT,87869.66,0.00057,buy
1766675495321,BTCUSDT,87868.73,0.00011,buy
1766675525586,BTCUSDT,87868.16,0.00057,buy
1766676158571,BTCUSDT,87861.99,0.00105,buy
1766676356991,BTCUSDT,87877.4,0.01027,buy
1766676356991,BTCUSDT,87878.09,0.00986,buy
1766676356991,BTCUSDT,87878.1,0.00025,buy
1766676357723,BTCUSDT,87931.67,0.0027,buy
1766676357723,BTCUSDT,87931.69,0.0073,buy
1766676358883,BTCUSDT,87931.94,0.00065,buy
1766676361403,BTCUSDT,87952.87,0.00351,buy
1766676361403,BTCUSDT,87952.88,0.00038,buy
1766676370757,BTCUSDT,87991.37,0.00206,buy
1766676406500,BTCUSDT,88072.61,0.00029,buy
1766676406500,BTCUSDT,88072.62,0.00019,buy
1766676406500,BTCUSDT,88072.74,0.00952,buy
1766676406688,BTCUSDT,88072.74,0.00774,buy
1766676406688,BTCUSDT,88072.79,0.00013,buy
1766676680476,BTCUSDT,88219.89,0.00045,buy
1766676786687,BTCUSDT,88217.61,3e-05,buy
1766676786687,BTCUSDT,88217.62,0.0017,buy
1766676786687,BTCUSDT,88220.28,0.01455,buy
1766676786687,BTCUSDT,88220.29,0.00441,buy
1766676786687,BTCUSDT,88222.75,0.01249,buy
1766676787595,BTCUSDT,88222.73,0.0017,buy
1766676796865,BTCUSDT,88222.72,0.0017,buy
1766676796865,BTCUSDT,88222.73,1e-05,buy
1766676921641,BTCUSDT,88176.88,0.00132,buy
1766677042714,BTCUSDT,88154.18,0.00023,buy
1766677055313,BTCUSDT,88153.97,0.00113,buy
1766677225583,BTCUSDT,88152.22,2e-05,buy
1766677225583,BTCUSDT,88152.23,5e-05,buy
1766677239097,BTCUSDT,88222.69,7e-05,buy
1766677262646,BTCUSDT,88222.53,0.00013,buy
1766677424252,BTCUSDT,88222.53,0.00125,buy
1766677424252,BTCUSDT,88222.86,0.00026,buy
1766677426015,BTCUSDT,88250.0,0.0002,buy
1766677427234,BTCUSDT,88286.25,0.00097,buy
1766677427234,BTCUSDT,88286.26,0.00031,buy
1766677427389,BTCUSDT,88312.39,7e-05,buy
1766677427389,BTCUSDT,88322.0,0.00234,buy
1766677427389,BTCUSDT,88322.0,0.00766,buy
1766677427465,BTCUSDT,88323.46,1e-05,buy
1766677427524,BTCUSDT,88333.0,2e-05,buy
1766677427750,BTCUSDT,88350.0,0.00036,buy
1766677427799,BTCUSDT,88332.99,0.02612,buy
1766677446228,BTCUSDT,88422.29,0.00065,buy
1766677454543,BTCUSDT,88449.13,0.00131,buy
1766677454543,BTCUSDT,88449.14,0.00011,buy
1766677454547,BTCUSDT,88455.17,3e-05,buy
1766677457881,BTCUSDT,88470.44,0.00036,buy
1766677458335,BTCUSDT,88470.43,0.00036,buy
1766677458335,BTCUSDT,88470.45,9e-05,buy
1766677483881,BTCUSDT,88492.17,0.00038,buy
1766677490071,BTCUSDT,88548.25,0.00697,buy
1766677490071,BTCUSDT,88548.26,0.00088,buy
1766677490071,BTCUSDT,88557.58,0.00037,buy
1766677490071,BTCUSDT,88567.44,0.00156,buy
1766677490071,BTCUSDT,88591.98,0.00282,buy
1766677490071,BTCUSDT,88591.99,0.00723,buy
1766677492321,BTCUSDT,88591.94,0.00017,buy
1766677613533,BTCUSDT,88589.18,9e-05,buy
1766677655273,BTCUSDT,88588.7,0.00056,buy
1766677752245,BTCUSDT,88412.04,0.00816,sell
1766677757938,BTCUSDT,88412.04,0.00326,sell
1766677759682,BTCUSDT,88412.04,0.00131,sell
1766677764727,BTCUSDT,88412.04,0.00052,sell
1766677769729,BTCUSDT,88412.04,0.00021,sell
1766677770180,BTCUSDT,88412.04,0.00086,sell
1766677770380,BTCUSDT,88412.04,0.00669,sell
1766677770604,BTCUSDT,88411.25,9e-05,sell
1766677940414,BTCUSDT,88582.73,0.00169,buy
1766677940414,BTCUSDT,88582.74,0.00056,buy
1766678127798,BTCUSDT,88389.53,0.00493,sell
1766678131618,BTCUSDT,88389.53,0.00197,sell
1766678134593,BTCUSDT,88389.53,0.00021,sell
1766678134679,BTCUSDT,88389.53,0.00438,sell
1766678134903,BTCUSDT,88389.51,0.003,sell
1766678139853,BTCUSDT,88300.83,0.00109,sell
1766678222015,BTCUSDT,88301.87,0.00022,sell
1766678555287,BTCUSDT,88503.5,0.00113,buy
1766678637945,BTCUSDT,88305.77,0.00604,sell
1766678640563,BTCUSDT,88305.77,0.00242,sell
1766678646093,BTCUSDT,88305.77,0.00097,sell
1766678649182,BTCUSDT,88305.78,0.00038,sell
1766678649973,BTCUSDT,88305.78,0.00038,sell
1766678736374,BTCUSDT,88273.67,0.00078,sell
1766678860760,BTCUSDT,88492.08,2e-05,buy
1766678933490,BTCUSDT,88254.57,0.00096,sell
1766678990465,BTCUSDT,88471.45,0.00028,buy
1766679266613,BTCUSDT,88452.18,0.00012,buy
1766679290665,BTCUSDT,88176.79,0.00601,sell
1766679320646,BTCUSDT,88451.49,6e-05,buy
1766679335360,BTCUSDT,88451.35,6e-05,buy
1766679342562,BTCUSDT,88178.3,0.00024,sell
1766679407588,BTCUSDT,88451.21,2e-05,buy
1766679426317,BTCUSDT,88451.21,3e-05,buy
1766679427488,BTCUSDT,88451.21,5e-05,buy
1766679705879,BTCUSDT,88450.65,0.00021,buy
1766679705879,BTCUSDT,88450.66,0.00058,buy
1766679710367,BTCUSDT,88450.63,0.00016,buy
1766679710367,BTCUSDT,88450.64,0.00238,buy
1766679710367,BTCUSDT,88450.65,0.0031,buy
1766679890471,BTCUSDT,88450.57,0.00012,buy
1766679890471,BTCUSDT,88450.58,0.00045,buy
1766679902961,BTCUSDT,88450.58,0.01026,buy
1766680073853,BTCUSDT,88578.05,9e-05,buy
1766680073853,BTCUSDT,88578.06,0.0224,buy
1766680160439,BTCUSDT,88575.97,0.00113,buy
1766680265768,BTCUSDT,88574.7,9e-05,buy
1766680615917,BTCUSDT,88277.04,0.00021,sell
1766680620805,BTCUSDT,88277.04,6e-05,sell
1766680632453,BTCUSDT,88277.04,0.00289,sell
1766680632918,BTCUSDT,88277.04,0.00377,sell
1766680632939,BTCUSDT,88277.04,0.00279,sell
1766680633828,BTCUSDT,88277.04,0.00228,sell
1766680633828,BTCUSDT,88277.01,0.0004,sell
1766680633834,BTCUSDT,88277.01,0.00059,sell
1766680633915,BTCUSDT,88277.01,0.00263,sell
1766680633941,BTCUSDT,88277.01,0.00279,sell
1766681120763,BTCUSDT,88524.79,0.00212,buy
1766681153053,BTCUSDT,88523.54,0.00225,buy
1766681336906,BTCUSDT,88250.98,0.00113,sell
1766681336906,BTCUSDT,88235.01,0.00076,sell
1766681457448,BTCUSDT,88414.28,3e-05,buy
1766681486348,BTCUSDT,88176.5,0.00052,sell
1766681486932,BTCUSDT,88176.5,0.0006,sell
1766681486932,BTCUSDT,88135.88,0.00248,sell
1766681486932,BTCUSDT,88135.88,0.00086,sell
1766681487285,BTCUSDT,88135.88,0.00172,sell
1766681642850,BTCUSDT,88286.24,0.0014,buy
1766682170514,BTCUSDT,88269.31,0.00057,buy
1766682200494,BTCUSDT,88268.92,0.00028,buy
1766682222814,BTCUSDT,88010.33,0.00053,sell
1766682242278,BTCUSDT,88000.08,0.0001,sell
1766682247676,BTCUSDT,88000.15,0.03422,sell
1766682285182,BTCUSDT,88266.09,0.00057,buy
1766682365408,BTCUSDT,88263.57,0.00113,buy
1766682470309,BTCUSDT,88261.74,0.00028,buy
1766682545273,BTCUSDT,88261.41,0.00012,buy
1766682545273,BTCUSDT,88261.42,8e-05,buy
1766682665275,BTCUSDT,88260.65,0.00011,buy
1766682815350,BTCUSDT,88258.61,6e-05,buy
1766682905381,BTCUSDT,88255.96,0.00023,buy
1766683040593,BTCUSDT,88252.24,0.00011,buy
